N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4Mhg38.nf` [sleepy_poitras] - revision: 7b5debd944
[f8/21b9a2] Submitted process > preprocessing_mapping:getBwaVersion (BWA version)
[f8/a39967] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[26/ecd283] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[42/7d3952] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5f/e0eb72] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d9/144237] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[06/c9b651] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[bf/958f25] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a4/bb716b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[1b/d23321] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c8/379a9d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[67/e497a0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f5/0453b5] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[89/9bdcdb] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b8/da619f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[99/7eaeca] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[63/bafac5] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[22/e3598a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[50/efc512] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[9e/fac0bf] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[38/d32175] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c4/74fc36] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f1/1db1b7] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[87/55e945] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[22/c74f63] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[2c/836bde] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8d/ea9b86] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[78/d43c84] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[68/5a01a7] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0d/8260ff] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[fd/7ce694] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5b/be3dc0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e3/dcda90] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[28/337ce7] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[15/0db62e] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4b/f25418] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[52/4978c7] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[82/ceb83c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8d/508cf3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ee/fdc1d7] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ff/cde9ef] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[26/6f2c81] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ef/e265bf] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f1/4424d1] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[66/d73fa5] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b4/e22aa0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8b/d8a41a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d0/4f33a6] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d1/63ee09] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[34/9c2c63] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[42/862d88] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8e/8279eb] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[47/aded6a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[12/577345] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b9/c56aef] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[1b/ee8b4c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4d/d9303d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b6/33a4e4] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d0/f77a30] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[66/c696fe] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[55/00249f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[28/64c38a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
