task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	f8/21b9a2	4718601	preprocessing_mapping:getBwaVersion (BWA version)	COMPLETED	0	2023-06-28 16:06:24.078	3.9s	104ms	28.9%	3.4 MB	331.9 MB	503.1 KB	3.2 KB
43	d9/144237	4718606	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:26.914	4m 11s	3m 48s	1330.7%	8.6 GB	30.3 GB	10 GB	4.7 GB
16	f8/a39967	4718602	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:24.588	6m 13s	5m 32s	1414.7%	8.7 GB	29.9 GB	12.4 GB	7.1 GB
35	42/7d3952	4718604	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:25.446	6m 13s	5m 37s	1425.6%	8.7 GB	30 GB	12.4 GB	7.1 GB
28	5f/e0eb72	4718605	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:26.248	6m 12s	5m 22s	1415.5%	8.6 GB	30.4 GB	12.4 GB	7.2 GB
14	06/c9b651	4718607	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:27.675	6m 11s	5m 33s	1428.3%	8.7 GB	30 GB	12.4 GB	7.1 GB
31	a4/bb716b	4718609	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:28.809	8m 44s	4m 46s	1566.0%	8.6 GB	30.4 GB	12.4 GB	7.1 GB
18	26/ecd283	4718603	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:25.023	9m 13s	8m 35s	1471.3%	8.7 GB	30.6 GB	12.4 GB	7.2 GB
22	bf/958f25	4718608	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:28.387	9m 45s	6m 5s	1489.8%	8.7 GB	30 GB	12.4 GB	7.1 GB
19	1b/d23321	4718610	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:29.432	11m 9s	4m 56s	1559.7%	8.6 GB	30 GB	12.4 GB	7.1 GB
20	c8/379a9d	4718611	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:29.826	11m 9s	4m 58s	1558.6%	8.7 GB	30.4 GB	12.4 GB	7.2 GB
15	67/e497a0	4718612	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:30.265	11m 8s	4m 55s	1568.4%	8.7 GB	30 GB	12.4 GB	7.1 GB
13	f5/0453b5	4718613	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:30.638	11m 8s	4m 42s	1563.1%	8.7 GB	30 GB	12.4 GB	7.1 GB
32	89/9bdcdb	4718614	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:31.145	11m 17s	1m 53s	1382.6%	8.5 GB	30.6 GB	6.8 GB	1.5 GB
33	b8/da619f	4718615	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:31.596	14m 6s	5m 6s	1564.6%	8.7 GB	30 GB	12.4 GB	7.1 GB
5	99/7eaeca	4718616	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:32.382	15m 21s	6m 3s	1562.2%	8.7 GB	30.2 GB	12.5 GB	7.2 GB
45	63/bafac5	4718617	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:32.878	15m 20s	4m 55s	1565.6%	8.7 GB	30.3 GB	12.4 GB	7.1 GB
27	22/e3598a	4718618	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:33.871	15m 49s	4m 52s	1567.5%	8.7 GB	30 GB	12.4 GB	7.1 GB
36	50/efc512	4718619	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:34.551	16m 3s	5m 13s	1559.9%	8.7 GB	30.1 GB	12.5 GB	7.2 GB
11	9e/fac0bf	4718620	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:35.012	16m 3s	4m 48s	1563.5%	8.6 GB	30.4 GB	12.4 GB	7.2 GB
3	c4/74fc36	4718622	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:35.987	17m 2s	2m 39s	1487.7%	8.6 GB	30 GB	8.8 GB	3.6 GB
9	8d/ea9b86	4718627	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:38.722	17m 24s	1m 29s	1447.3%	8.6 GB	30 GB	7.2 GB	1.9 GB
23	38/d32175	4718621	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:35.411	19m 3s	7m 50s	1546.9%	8.7 GB	30.9 GB	12.5 GB	7.2 GB
6	f1/1db1b7	4718623	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:36.807	20m 21s	4m 53s	1558.0%	8.7 GB	30.4 GB	12.4 GB	7.2 GB
38	22/c74f63	4718625	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:37.697	20m 20s	5m 1s	1560.0%	8.7 GB	30 GB	12.5 GB	7.2 GB
48	0d/8260ff	4718630	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:40.772	20m 27s	1m 42s	1376.5%	8.6 GB	30.8 GB	7.1 GB	1.8 GB
25	2c/836bde	4718626	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:38.241	20m 45s	4m 55s	1561.7%	8.6 GB	30.2 GB	12.3 GB	7.1 GB
40	87/55e945	4718624	preprocessing_mapping:samToFastqBwaMem (NA12878)	COMPLETED	0	2023-06-28 16:06:37.200	21m 26s	5m 56s	1551.5%	8.7 GB	30.4 GB	12.4 GB	7.2 GB
