N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/Pre-fasta2ubam/fasta2ubam.nf` [distracted_wing] - revision: dbad6288c0
[d2/01e518] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[2a/ae3f2f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[18/82ce52] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[73/1a4c91] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[e7/c85589] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[aa/b633b9] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[bf/5a3844] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[bc/6091b7] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[48/9c829b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[f3/a210ce] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[21/63fe89] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[49/b37ff9] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[5f/478ced] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[da/d8c172] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c0/4b03ad] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[b7/9d71eb] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[3a/808dd6] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[42/50006a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[fa/731eb1] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[49/14505b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[87/f8fb75] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[4c/be3179] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[72/94298f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[49/154bb0] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[4e/bce641] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[98/5ff3b6] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[cf/613a03] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[62/9717c3] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[3a/892af7] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ac/13629d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[08/01f5ad] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[21/2de4f5] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[2b/5b2cd3] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[bb/6521cf] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[01/40c6c8] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[48/4f188e] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[cb/bbb418] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c2/4cfcd2] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[11/5bf251] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d2/a20feb] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[58/b96aae] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[62/b53d00] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[a9/786d2c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
