N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4MT2T.nf` [crazy_lichterman] - revision: b3005fa5b5
[98/7c217a] Cached process > preprocessing_mapping:getBwaVersion (BWA version)
[ce/4087af] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[20/f3a079] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[1c/0ad12f] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[1e/487254] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f6/340bbf] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f0/43d425] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[54/236a58] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8d/7dd997] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cc/24eac9] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[08/d46d8e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f8/43d1a8] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[2f/392d61] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[32/ab41a7] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[9e/fd3602] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5f/f3aee8] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[55/69103c] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[9a/556de8] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ec/27742b] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[02/f64c82] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[16/0ba998] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[02/69f039] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[96/7327ef] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b6/35077b] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[39/482e3e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[39/1822a9] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[32/bc06cb] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0a/ee68c5] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f6/03be76] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[86/7e81f9] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cf/aabdd1] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f8/e7f9d5] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5e/766324] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c4/aa948e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8b/849acb] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d0/0a1b1d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e7/76e123] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cb/1e06bf] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ad/4f253d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[38/b0b0ca] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[14/800b9e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0a/16fe6d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[3f/815878] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[81/8a0ffe] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b6/b2bf53] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[53/351f52] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[45/3f0138] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a0/0eea75] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[6e/00a9c0] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[3e/b17c01] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[7f/6f254a] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8f/a7ec1d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c3/5b1c80] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5a/563d09] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[16/19d0fd] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b6/0452cb] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[11/af295d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e1/ca0b0f] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b3/b1a72e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ae/02e315] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b2/fdf4dd] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[6b/c812b3] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[7d/72ed59] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cf/ff7f61] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[02/27bdcd] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c6/5d568d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[df/8445d5] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
