task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	98/7c217a	4683117	preprocessing_mapping:getBwaVersion (BWA version)	CACHED	0	2023-06-22 11:20:17.678	34.2s	603ms	6.8%	0	0	502.8 KB	3.2 KB
10	1e/487254	4683142	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:27.357	24m 55s	6m 28s	1566.9%	9 GB	31.1 GB	12.1 GB	6.9 GB
5	54/236a58	4683124	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:19.986	32m 22s	32m 7s	596.8%	9.1 GB	31.1 GB	12.1 GB	6.9 GB
38	ce/4087af	4683118	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:18.002	59m 14s	58m 5s	332.4%	9.1 GB	30.4 GB	12.1 GB	6.9 GB
36	20/f3a079	4683152	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:30.778	35m 11s	6m 28s	1566.5%	9 GB	31 GB	12.1 GB	6.9 GB
11	f0/43d425	4683137	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:25.131	20m 12s	5m 56s	1563.4%	8.9 GB	31.2 GB	12.1 GB	6.9 GB
26	f6/340bbf	4683121	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:18.944	8m 13s	7m 27s	1394.4%	9.1 GB	31 GB	12.1 GB	6.9 GB
34	8d/7dd997	4683122	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:19.314	37m 23s	36m 31s	238.0%	8.9 GB	30.4 GB	8.3 GB	3.1 GB
47	1c/0ad12f	4683126	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:20.940	8m 11s	7m 9s	1382.8%	9 GB	30.9 GB	12 GB	6.8 GB
40	cc/24eac9	4683145	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:28.487	27m 9s	6m 20s	1566.0%	9 GB	31.2 GB	12.1 GB	6.9 GB
37	08/d46d8e	4683158	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:32.481	42m 10s	6m 26s	1567.5%	9 GB	31 GB	12.1 GB	6.9 GB
16	f8/43d1a8	4683128	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:21.756	8m 10s	7m 12s	1379.4%	9 GB	30.6 GB	12 GB	6.9 GB
25	2f/392d61	4683162	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:33.647	45m 14s	6m 13s	1566.5%	8.9 GB	31 GB	12 GB	6.8 GB
30	32/ab41a7	4683174	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:36.940	57m	2m	1466.9%	8.8 GB	30.9 GB	7.2 GB	2.1 GB
8	9e/fd3602	4683168	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:35.368	53m 7s	6m 15s	1564.9%	8.9 GB	31 GB	12 GB	6.8 GB
14	9a/556de8	4683167	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:35.183	52m 7s	6m 22s	1567.3%	9 GB	31 GB	12 GB	6.8 GB
48	02/f64c82	4683148	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:29.637	27m 13s	1m 54s	1427.5%	8.8 GB	30.8 GB	6.9 GB	1.7 GB
39	16/0ba998	4683123	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:19.611	16m 17s	15m 32s	366.1%	8.8 GB	30.8 GB	7.2 GB	2.1 GB
35	02/69f039	4683169	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:35.566	55m 7s	6m 30s	1566.4%	9 GB	30.9 GB	12 GB	6.8 GB
31	96/7327ef	4683165	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:34.790	49m 22s	6m 11s	1566.9%	8.9 GB	31.2 GB	12.1 GB	6.9 GB
15	39/482e3e	4683136	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:24.730	19m 52s	6m 9s	1565.9%	9 GB	31.1 GB	12 GB	6.9 GB
33	b6/35077b	4683132	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:23.034	13m 44s	6m 20s	1565.3%	8.9 GB	31.3 GB	12 GB	6.8 GB
32	5f/f3aee8	4683138	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:25.455	15m 51s	1m 31s	1383.9%	8.7 GB	31.1 GB	6.6 GB	1.5 GB
12	39/1822a9	4683149	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 11:20:29.878	32m 12s	6m 37s	1567.8%	9.1 GB	30.9 GB	12.1 GB	6.9 GB
